label,logFC,P.Value,adj.P.Val,AveExpr,t,B,absLogFC,log10Pvalue,log10Padj
AARS2,-0.103624291,0.686822018,0.946969419,6.020389824,-0.403173131,-5.680453989,0.103624291,0.163155791,0.023664046
AARSD1,0.106905343,0.692449909,0.946969419,5.969724806,0.395534074,-5.638818817,0.106905343,0.159611637,0.023664046
AASDH,-0.001868098,0.995602325,0.998262423,5.607273788,-0.005511714,-5.51221312,0.001868098,0.001914098,0.000755276
AASDHPPT,-0.29133986,0.344087526,0.817831857,5.788827842,-0.946125721,-5.207144472,0.29133986,0.463331071,0.087335976
AASS,4.85E-05,0.99986846,0.999921997,5.878830739,0.000164862,-5.634391108,4.85E-05,5.71E-05,3.39E-05
AATF,0.137654263,0.670833743,0.946900894,5.733425987,0.425005701,-5.4736917,0.137654263,0.173385101,0.023695473
AATK,0.296115395,0.32477061,0.805586101,5.161935056,0.984708206,-5.19285949,0.296115395,0.488423279,0.093888035
ABAT,0.101600361,0.742573895,0.954905855,5.812261665,0.328447975,-5.543515613,0.101600361,0.129260322,0.020039444
ABCA1,-0.116338677,0.669464988,0.946900894,5.962549887,-0.426884085,-5.62007819,0.116338677,0.174272131,0.023695473
ABCA10,-0.236369067,0.47465027,0.885865103,5.604946164,-0.714936897,-5.316765001,0.236369067,0.323626267,0.052632406
ABCA12,0.337364342,0.296222187,0.786877149,5.344079026,1.044576367,-5.087815321,0.337364342,0.528382416,0.104093066
ABCA13,-0.266538756,0.415229099,0.85305391,5.628154976,-0.814730655,-5.260168473,0.266538756,0.381712219,0.069023522
ABCA2,0.593169035,0.045914289,0.433628746,5.783819934,1.996213707,-3.88655497,0.593169035,1.338052135,0.362881935
ABCA3,-0.366751513,0.160686978,0.667812794,6.017321013,-1.402778759,-4.854451442,0.366751513,0.794019316,0.175345265
ABCA4,-0.321665939,0.140776984,0.640665627,6.192338981,-1.472919396,-4.897327601,0.321665939,0.851468343,0.193368576
ABCA5,-0.083773499,0.784276068,0.971128708,5.824413532,-0.273751872,-5.566953439,0.083773499,0.105531037,0.012723207
ABCA6,0.161231478,0.627142031,0.930774995,5.409875511,0.48575539,-5.43006713,0.161231478,0.202634092,0.031155292
ABCA7,-0.028982985,0.930337551,0.986384959,5.683683598,-0.087420448,-5.527598187,0.028982985,0.031359449,0.005953559
ABCA8,-0.071302341,0.83167974,0.974045182,5.63784845,-0.21254848,-5.501840885,0.071302341,0.080043878,0.011420898
ABCA9,-0.019241188,0.949447923,0.986384959,5.838552198,-0.063400294,-5.604854496,0.019241188,0.022528851,0.005953559
ABCB1,-0.550208868,0.078059574,0.525565485,5.424043821,-1.76208176,-4.245220659,0.550208868,1.107573825,0.279373163
ABCB10,0.065881686,0.694938777,0.946969419,6.373199763,0.392163166,-6.076425964,0.065881686,0.158053454,0.023664046
ABCB11,0.203127978,0.5344955,0.905826043,5.366082658,0.62116114,-5.378563244,0.203127978,0.272055947,0.042955197
ABCB4,0.34134323,0.299634428,0.788207355,5.436591401,1.037224868,-5.080934971,0.34134323,0.523408287,0.103359517
ABCB5,-0.363959111,0.247756334,0.754474542,5.696454868,-1.155825261,-5.000941713,0.363959111,0.605975233,0.12235541
ABCB6,0.063794935,0.849861332,0.975231281,5.456770453,0.189296016,-5.501923938,0.063794935,0.07065193,0.010892377
ABCB7,0.513197603,0.032238681,0.374677686,6.119225976,2.141478681,-3.723283579,0.513197603,1.491622739,0.426342171
ABCB8,0.445871121,0.05305661,0.460250444,6.147204005,1.934490581,-4.133027848,0.445871121,1.275260503,0.337005784
ABCB9,0.194773885,0.431763642,0.862742007,6.055034993,0.786181525,-5.506424061,0.194773885,0.364753932,0.064119056
ABCC1,0.062461234,0.8440925,0.974045182,5.772222703,0.196662107,-5.550809833,0.062461234,0.073609958,0.011420898
ABCC10,-0.028107837,0.910632206,0.986384959,6.042773524,-0.112241526,-5.771518183,0.028107837,0.040656994,0.005953559
ABCC11,0.62094229,0.041167187,0.416544419,5.643565969,2.041877512,-3.796900214,0.62094229,1.385448803,0.38033868
ABCC12,0.246474121,0.439601919,0.867544911,5.298317565,0.772869742,-5.308242614,0.246474121,0.356940421,0.061708034
ABCC2,-0.076329649,0.817076469,0.974045182,5.687827251,-0.231307609,-5.512115779,0.076329649,0.087737296,0.011420898
ABCC3,0.227185129,0.496447712,0.889561885,5.627613517,0.680092956,-5.329232326,0.227185129,0.304126487,0.050823833
ABCC4,0.14256415,0.659223364,0.944658398,5.331622103,0.440987443,-5.469340817,0.14256415,0.180967409,0.02472521
ABCC5,0.944241335,2.13E-05,0.004137217,6.315357986,4.251444735,2.46820494,0.944241335,4.672327573,2.383291687
ABCC6,-0.375141201,0.245457636,0.752653468,5.49881792,-1.161462351,-4.977818808,0.375141201,0.610023452,0.123404933
ABCC8,0.154280914,0.616656157,0.925157607,5.815078581,0.50059713,-5.484993886,0.154280914,0.209956928,0.033784276
ABCC9,-0.11597018,0.714158543,0.948821404,5.770359944,-0.366278186,-5.512520583,0.11597018,0.146205365,0.022815527
ABCD1,0.195581435,0.562654372,0.913606962,5.524151046,0.578905963,-5.373979918,0.195581435,0.249758302,0.0392406
ABCD2,-0.123019331,0.706790068,0.946969419,5.3661185,-0.37617204,-5.482320829,0.123019331,0.150709562,0.023664046
ABCD3,0.13717335,0.55688456,0.912762871,6.105942266,0.587477907,-5.682750882,0.13717335,0.254234823,0.039642034
ABCD4,0.102879462,0.666433817,0.946900894,6.085890743,0.431049233,-5.736059339,0.102879462,0.176242974,0.023695473
ABCE1,-0.125079033,0.681170092,0.946900894,5.829308385,-0.410868565,-5.530737632,0.125079033,0.166744429,0.023695473
ABCF1,0.333184104,0.293320094,0.786423357,5.740647828,1.050873495,-5.095461225,0.333184104,0.532658184,0.104343596
ABCF2,0.066618927,0.648030051,0.939475065,6.48500068,0.45650243,-6.184523189,0.066618927,0.188404854,0.027114742
ABCF3,0.184943652,0.529115547,0.903620674,5.877267997,0.629359659,-5.461405153,0.184943652,0.276449478,0.044013841
ABCG1,-0.555592531,0.046246733,0.434456164,5.920875716,-1.993167559,-3.921137681,0.555592531,1.334918943,0.362054037
ABCG2,0.531820199,0.090768482,0.546512874,5.599918542,1.691379678,-4.346749845,0.531820199,1.042064929,0.262399603
ABCG4,-0.065922588,0.846052523,0.974244809,5.544336352,-0.194158221,-5.49491633,0.065922588,0.072602675,0.011331899
ABCG5,-0.032078181,0.923122958,0.986384959,5.410007871,-0.096500976,-5.524659345,0.032078181,0.034740448,0.005953559
ABCG8,-0.161821015,0.601703136,0.916754804,5.798800608,-0.521955107,-5.470622593,0.161821015,0.220617725,0.037746806
ABHD1,-0.065759101,0.844508519,0.974045182,5.642080547,-0.19613055,-5.505122771,0.065759101,0.073395965,0.011420898
ABHD10,0.074360092,0.815897223,0.974045182,5.76260409,0.232825919,-5.539423217,0.074360092,0.088364545,0.011420898
ABHD11,0.008520436,0.950382642,0.986384959,6.535339957,0.062226576,-6.345049286,0.008520436,0.022101504,0.005953559
ABHD12,-0.72713751,0.003470143,0.124451982,6.128538848,-2.922790058,-1.908682707,0.72713751,2.459652595,0.904998182
ABHD12B,0.133901621,0.685803482,0.946900894,5.398119411,0.404558153,-5.462969856,0.133901621,0.163800314,0.023695473
ABHD13,0.064721925,0.751077053,0.95907662,6.216695656,0.31722067,-5.918985387,0.064721925,0.124315506,0.018146696
ABHD14A,-0.524448111,0.095126338,0.555178147,5.411430517,-1.668975942,-4.379425993,0.524448111,1.021699223,0.255567637
ABHD14B,-0.620403587,0.011207671,0.23181138,6.130249578,-2.536219335,-2.872106235,0.620403587,1.950484617,0.634865248
ABHD15,-0.311785622,0.278513605,0.778108146,5.89573864,-1.083672331,-5.136808982,0.311785622,0.555153585,0.108960038
ABHD16A,0.109581743,0.371063695,0.837421558,6.622438628,0.894488063,-6.064737913,0.109581743,0.430551535,0.077055863
ABHD16B,0.138134039,0.676471349,0.946900894,5.398639457,0.417284739,-5.458422673,0.138134039,0.169750593,0.023695473
ABHD17A,-0.102253377,0.394588659,0.845249729,6.642431642,-0.851330241,-6.120460931,0.102253377,0.403855401,0.07301496
ABHD17B,-0.315171187,0.293178923,0.786423357,5.830708316,-1.051180879,-5.136206262,0.315171187,0.532867254,0.104343596
ABHD17C,0.548073319,0.071191583,0.505376355,5.745485955,1.804279149,-4.193725794,0.548073319,1.147571352,0.296385081
ABHD18,0.084424002,0.640772747,0.936217027,6.313912224,0.466620544,-5.976019112,0.084424002,0.193295968,0.028623464
ABHD2,-0.118803698,0.592067833,0.916347881,6.154683375,-0.535844191,-5.755961025,0.118803698,0.227628533,0.03793962
ABHD3,-0.420464942,0.068635056,0.498420655,6.155644056,-1.820840816,-4.327917702,0.420464942,1.163454007,0.302403968
ABHD4,0.477848691,0.102524843,0.574341126,5.860027511,1.632754553,-4.470797625,0.477848691,0.989170887,0.240830085
ABHD5,0.371795468,0.134164377,0.628017061,6.065164115,1.497896465,-4.767216633,0.371795468,0.872362781,0.202028558
ABHD6,-0.493328966,0.112188577,0.59367544,5.239330134,-1.588451211,-4.498706394,0.493328966,0.950051361,0.226450917
ABHD8,0.011426462,0.963220276,0.986746386,6.052022165,0.046113039,-5.785835789,0.011426462,0.016274384,0.005794455
ABI1,0.104605546,0.527043744,0.901940635,6.38669062,0.632528167,-5.973527037,0.104605546,0.278153337,0.044822047
ABI2,0.152122418,0.23918258,0.74734445,6.583677034,1.177041782,-5.728876536,0.152122418,0.621270454,0.126479186
ABI3,-0.148851,0.628506924,0.931387511,5.812591151,-0.483831433,-5.493601727,0.148851,0.201689934,0.03086959
ABI3BP,0.10701386,0.753042461,0.960358483,5.570259537,0.314631338,-5.467733701,0.10701386,0.123180535,0.017566623
ABITRAM,0.294585379,0.034740499,0.383480085,6.538241294,2.111408823,-4.169186408,0.294585379,1.459163945,0.416257185
ABL1,0.09760581,0.408767178,0.849012452,6.649687791,0.826069726,-6.156921673,0.09760581,0.388523983,0.07108594
ABL2,0.296269791,0.250315201,0.756249921,6.023047392,1.149593052,-5.155939531,0.296269791,0.601512776,0.121334658
ABLIM1,-0.036074277,0.84945564,0.975118515,6.275705371,-0.189813695,-6.015741685,0.036074277,0.070859296,0.010942597
ABLIM2,0.228096475,0.49818426,0.889561885,5.537890393,0.677352761,-5.324511584,0.228096475,0.302609998,0.050823833
ABLIM3,-0.687103257,0.012901399,0.247900656,5.90425609,-2.486539287,-2.944293052,0.687103257,1.889363178,0.605722325
ABO,-0.518510501,0.065740121,0.492456668,5.908750652,-1.840218553,-4.175076632,0.518510501,1.182169499,0.307631978
ABR,-0.446902185,0.028189407,0.350761861,6.281433582,-2.194683064,-3.714217644,0.446902185,1.549914061,0.454987635
ABRA,0.224981578,0.504422397,0.890856779,5.53570885,0.667550858,-5.329414632,0.224981578,0.297205638,0.050192111
ABRACL,-0.074599164,0.667174183,0.946900894,6.351645495,-0.430031205,-6.031201257,0.074599164,0.175760768,0.023695473
ABRAXAS1,-0.127646965,0.653345375,0.94153436,5.916570459,-0.449121416,-5.575046138,0.127646965,0.184857179,0.026163826
ABRAXAS2,-0.609928599,0.043385859,0.424297234,5.549942117,-2.020010519,-3.838273848,0.609928599,1.362651803,0.3723298
ABT1,-0.114992176,0.556861189,0.912762871,6.25801382,-0.587512715,-5.842721485,0.114992176,0.254253049,0.039642034
ABTB1,0.258198704,0.177322868,0.681007147,6.282383869,1.349056624,-5.168141366,0.258198704,0.751235253,0.16684833
ABTB2,0.047857929,0.880258762,0.986384959,5.28705413,0.150641712,-5.55742452,0.047857929,0.055389643,0.005953559
ACAA1,0.239578391,0.06433631,0.48687571,6.589877941,1.849869483,-4.73613146,0.239578391,1.191543855,0.312581891
ACAA2,0.069285141,0.724947015,0.951705385,6.245588134,0.351856317,-5.941208016,0.069285141,0.139693734,0.021497473
ACACA,0.260317433,0.271275009,0.770351733,6.101545373,1.100139227,-5.275010506,0.260317433,0.566590213,0.113310936
ACACB,-0.233770506,0.480691908,0.887415945,5.581439509,-0.705193687,-5.320538181,0.233770506,0.318133189,0.051872772
ACAD10,-0.257806929,0.42968987,0.861529292,5.644457778,-0.789726754,-5.278855892,0.257806929,0.366844885,0.064729952
ACAD11,0.398269355,0.155095506,0.66120811,5.931623606,1.421775853,-4.782269076,0.398269355,0.809400786,0.179661828
ACAD8,0.041280852,0.875966131,0.985857662,5.990862799,0.156085397,-5.717102634,0.041280852,0.057512686,0.006185784
ACAD9,0.171488703,0.333528584,0.811361054,6.335074081,0.967037169,-5.653885425,0.171488703,0.476866941,0.090785843
ACADL,-0.1819184,0.559344136,0.913258576,5.24135752,-0.583818585,-5.436956555,0.1819184,0.252320911,0.039406241
ACADM,-0.24718555,0.232837565,0.740945998,6.225631026,-1.193090896,-5.287197085,0.24718555,0.63294695,0.130213443
ACADS,0.10647062,0.740337998,0.954385948,5.751191811,0.331407013,-5.510670892,0.10647062,0.13056996,0.020275964
ACADSB,-0.068521941,0.70946125,0.94735572,6.303986868,-0.372581166,-5.998053114,0.068521941,0.149071321,0.023486918
ACADVL,0.101572803,0.115232937,0.596840145,7.096265198,1.575120198,-5.855966259,0.101572803,0.938423369,0.224141973
ACAN,0.134608882,0.665883306,0.946548635,5.24135752,0.431806493,-5.503104536,0.134608882,0.176601873,0.023857067
ACAP2,0.339413365,0.161243641,0.668016998,6.086322334,1.400915019,-4.912867809,0.339413365,0.792517404,0.175212486
ACAP3,-0.046596457,0.779689961,0.970929753,6.381960868,-0.2797241,-6.120572859,0.046596457,0.108078057,0.01281219
ACAT1,-0.228079385,0.393616268,0.844716883,5.985430981,-0.853082541,-5.392930037,0.228079385,0.404926961,0.073288826
ACAT2,0.042566142,0.893317186,0.986384959,5.284763003,0.134108442,-5.560229789,0.042566142,0.048994311,0.005953559
ACBD3,0.172762722,0.226506233,0.738376908,6.50719405,1.209417716,-5.59837487,0.172762722,0.644919843,0.131721894
ACBD4,-0.56460244,0.055208812,0.468400208,5.76843099,-1.917259262,-4.025558361,0.56460244,1.257991598,0.329382921
ACBD5,0.051989996,0.781167816,0.971128708,6.28631085,0.277798494,-6.010794904,0.051989996,0.107255658,0.012723207
ACBD6,-0.028190983,0.828241352,0.974045182,6.576877912,-0.216958803,-6.374927576,0.028190983,0.08184309,0.011420898
ACBD7,-0.12154045,0.710101162,0.94735572,5.365446463,-0.371721644,-5.483895433,0.12154045,0.148679776,0.023486918
ACCS,-0.178985074,0.539886897,0.905826043,5.083155037,-0.612986856,-5.475637337,0.178985074,0.267697213,0.042955197
ACCSL,-0.370832924,0.245877895,0.753015229,5.335698946,-1.160428997,-4.986158428,0.370832924,0.609280514,0.12319624
ACD,0.074249798,0.82730889,0.974045182,5.575315609,0.218155066,-5.488744849,0.074249798,0.082332309,0.011420898
ACE,-0.180597882,0.536374451,0.905826043,5.083827074,-0.618307641,-5.47249292,0.180597882,0.270531917,0.042955197
ACE2,-0.117877466,0.727115434,0.951812366,5.523400436,-0.348966513,-5.463846116,0.117877466,0.138396637,0.021448657
ACER1,0.201074204,0.538681327,0.905826043,5.366476594,0.614811136,-5.381806689,0.201074204,0.268668079,0.042955197
ACER2,0.363324375,0.202645174,0.713076998,5.909116655,1.274062659,-4.945703817,0.363324375,0.693263735,0.146863573
ACER3,0.131605875,0.698203561,0.946969419,5.58153782,0.387748101,-5.447903335,0.131605875,0.156017941,0.023664046
ACHE,-0.519648866,0.085015507,0.540079806,5.712454376,-1.722321095,-4.322678564,0.519648866,1.070501849,0.267542061
ACIN1,0.108719627,0.186255052,0.687600422,6.927144101,1.321758125,-5.983004964,0.108719627,0.729891938,0.162663865
ACKR1,0.132571362,0.695376648,0.946969419,5.492301948,0.391570577,-5.448701809,0.132571362,0.157779898,0.023664046
ACKR2,-0.486355891,0.083765348,0.536149901,5.915960899,-1.729267572,-4.351158845,0.486355891,1.076935601,0.27071377
ACKR3,0.258882974,0.411707171,0.850665106,5.769056535,0.820897681,-5.284137959,0.258882974,0.385411568,0.070241381
ACKR4,-0.136584347,0.683415032,0.946900894,5.463080511,-0.407809057,-5.452110772,0.136584347,0.165315473,0.023695473
ACLY,-0.210927606,0.253117125,0.7585229,6.314506504,-1.142819689,-5.442240401,0.210927606,0.596678472,0.120031303
ACMSD,-0.848268453,0.003194978,0.11982687,5.419184575,-2.948423661,-1.830332554,0.848268453,2.495532065,0.921445786
ACO1,-0.485328079,0.116340601,0.598648278,5.637222888,-1.570338568,-4.526164938,0.485328079,0.934268697,0.222828263
ACO2,-0.04208204,0.859772211,0.978726494,6.088171146,-0.176664749,-5.808491246,0.04208204,0.065616596,0.009338655
ACOD1,0.276971217,0.405646129,0.848365488,5.468132127,0.831584576,-5.234805455,0.276971217,0.391852664,0.071417007
ACOT1,-0.146069744,0.517787875,0.896599679,6.139646503,-0.646762157,-5.678792594,0.146069744,0.285848124,0.047401421
ACOT11,-0.322356059,0.213563485,0.720746339,6.024447228,-1.243836939,-5.050064373,0.322356059,0.670473001,0.142217555
ACOT12,0.53570615,0.093053637,0.550510855,5.439040184,1.679526621,-4.35657217,0.53570615,1.03126665,0.259234113
ACOT13,0.004758313,0.988278557,0.995958838,5.736893671,0.014691228,-5.550554995,0.004758313,0.005120628,0.00175861
ACOT2,-0.118746827,0.6891876,0.946969419,5.863720603,-0.399959351,-5.555902009,0.118746827,0.161662545,0.023664046
ACOT4,-0.188040118,0.397068556,0.846194595,6.158846513,-0.846873125,-5.555814797,0.188040118,0.401134503,0.072529753
ACOT6,0.763943839,0.011391726,0.234063003,5.398397513,2.530509789,-2.82905028,0.763943839,1.943410463,0.630667228
ACOT7,-0.364063378,0.254467316,0.7585229,5.331505953,-1.139574384,-5.00687473,0.364063378,0.594367991,0.120031303
ACOT8,0.069421881,0.837582684,0.974045182,5.614200287,0.2049872,-5.495232005,0.069421881,0.07697231,0.011420898
ACOT9,-0.679129617,0.026254573,0.338041213,5.332401988,-2.222469528,-3.461526253,0.679129617,1.580795036,0.471030349
ACOX1,-0.55370029,0.062478034,0.483124193,5.740125769,-1.86291581,-4.110846708,0.55370029,1.204272647,0.315941214
ACOX2,0.019279927,0.9534016,0.986384959,5.698645083,0.05843587,-5.533486989,0.019279927,0.020724124,0.005953559
ACOX3,0.084805901,0.475555985,0.885865103,6.644710475,0.713471963,-6.235877539,0.084805901,0.322798348,0.052632406
ACOXL,0.533368203,0.094447378,0.555178147,5.441964569,1.672411579,-4.366844026,0.533368203,1.024810095,0.255567637
ACP1,0.224823386,0.11767236,0.601633363,6.50615878,1.564636673,-5.116540275,0.224823386,0.929325535,0.220668089
ACP2,-0.256803963,0.357745372,0.830400268,5.936354031,-0.919675417,-5.305069634,0.256803963,0.446425976,0.080712519
ACP3,0.639621467,0.034349379,0.381190342,5.648372927,2.11598504,-3.665418073,0.639621467,1.464081114,0.418858111
ACP4,0.081685772,0.802684375,0.974045182,5.360538267,0.249875426,-5.516227604,0.081685772,0.095455191,0.011420898
ACP5,-0.007889759,0.979245033,0.992779591,5.83967638,-0.026015515,-5.606922863,0.007889759,0.009108623,0.003147159
ACP6,0.078242232,0.560754325,0.913373976,6.549080757,0.581724049,-6.199902156,0.078242232,0.251227368,0.039351367
ACP7,0.185847399,0.576500808,0.916347881,5.422737324,0.558505669,-5.395907441,0.185847399,0.23920008,0.03793962
ACR,-0.348181444,0.251200659,0.757210251,5.80201972,-1.147446857,-5.035464337,0.348181444,0.599979225,0.120783515
ACRBP,0.345518544,0.293345852,0.786423357,5.434293709,1.050817421,-5.069509248,0.345518544,0.532620049,0.104343596
ACRV1,-0.026299563,0.93835606,0.986384959,5.571162137,-0.077336503,-5.506909881,0.026299563,0.027632337,0.005953559
ACSBG1,-0.365309967,0.259814991,0.761729681,5.491479517,-1.126837077,-5.0090344,0.365309967,0.585335795,0.118199122
ACSBG2,0.313008735,0.346073195,0.820046823,5.484583601,0.94223928,-5.153788815,0.313008735,0.460832038,0.08616135
ACSF2,-0.085880356,0.409653361,0.849020127,6.751462861,-0.824508429,-6.280067314,0.085880356,0.387583478,0.071082014
ACSF3,-0.158222206,0.427592682,0.859650002,6.245331762,-0.793322138,-5.69210939,0.158222206,0.368969737,0.065678332
ACSL1,0.508517801,0.073630325,0.509708517,5.904468324,1.78892885,-4.252473824,0.508517801,1.132943283,0.29267811
ACSL3,0.374961236,0.01474156,0.261277637,6.476695426,2.438723341,-3.373115179,0.374961236,1.831456558,0.582897761
ACSL4,0.405883103,0.213710434,0.720746339,5.535610539,1.243437845,-4.886831968,0.405883103,0.670174275,0.142217555
ACSL5,-0.058334594,0.783726589,0.971128708,6.185143528,-0.274466909,-5.892885392,0.058334594,0.105835419,0.012723207
ACSL6,-0.291340827,0.362133268,0.832705615,5.698185693,-0.911313287,-5.206602405,0.291340827,0.441131576,0.079508507
ACSM1,-0.210917843,0.525866257,0.90131251,5.593909875,-0.634331789,-5.358293001,0.210917843,0.279124695,0.045124601
ACSM2A,-0.512470741,0.073207772,0.508668732,5.878477283,-1.791558438,-4.244896394,0.512470741,1.135442812,0.293564958
ACSM2B,-0.041726429,0.885618052,0.986384959,5.894030161,-0.143851589,-5.636995647,0.041726429,0.05275354,0.005953559
ACSM3,-0.077305033,0.819368662,0.974045182,5.587183386,-0.228357872,-5.491317374,0.077305033,0.08652065,0.011420898
ACSM4,0.042826323,0.898618078,0.986384959,5.445650548,0.127407684,-5.512358169,0.042826323,0.046424849,0.005953559
ACSM5,-0.359288585,0.170932358,0.675081305,6.01300043,-1.369227277,-4.893576895,0.359288585,0.767175716,0.170643919
ACSM6,0.011768899,0.972415414,0.990268142,5.576737593,0.034579158,-5.508227535,0.011768899,0.012148166,0.004247192
ACSS1,0.127057285,0.324109213,0.8053397,6.584185146,0.986055212,-5.932725192,0.127057285,0.489308623,0.094020891
ACSS2,-0.032301582,0.889429606,0.986384959,6.109524635,-0.139026471,-5.836709948,0.032301582,0.050888418,0.005953559
ACSS3,-0.562920274,0.059866922,0.477475689,5.683837887,-1.881801019,-4.076938588,0.562920274,1.222813073,0.321048736
ACTA1,-0.093943221,0.767553215,0.966726779,5.288402855,-0.295577978,-5.529356049,0.093943221,0.114891505,0.014696251
ACTA2,0.427979757,0.01989841,0.300195958,6.344836112,2.328307998,-3.497301336,0.427979757,1.701181634,0.52259516
ACTBL2,-0.114108411,0.735567565,0.95371889,5.521737709,-0.337730065,-5.466899473,0.114108411,0.133377429,0.020579615
ACTC1,0.002317666,0.994398724,0.998052798,5.69663814,0.00702024,-5.534380023,0.002317666,0.002439442,0.000846483
ACTG2,0.05246189,0.869255973,0.982893524,5.766347862,0.164604197,-5.55279951,0.05246189,0.060852317,0.007493526
ACTL10,-0.342990039,0.289028849,0.784849057,5.576659565,-1.060262001,-5.072575796,0.342990039,0.539058807,0.105213859
ACTL6A,0.21177102,0.123986783,0.610651138,6.538919662,1.53827026,-5.194441523,0.21177102,0.906624607,0.214206829
ACTL6B,0.002740731,0.993238997,0.997404417,5.739491793,0.00847379,-5.551806007,0.002740731,0.002946237,0.001128713
ACTL7A,0.541507203,0.083762109,0.536149901,5.287060695,1.729285678,-4.293088686,0.541507203,1.076952394,0.27071377
ACTL7B,0.134266002,0.666735376,0.946900894,5.24174347,0.430634525,-5.50339947,0.134266002,0.176046501,0.023695473
ACTL8,-0.009494309,0.976445939,0.991863583,5.750107547,-0.029525025,-5.556406079,0.009494309,0.010351796,0.003548055
ACTL9,0.18971467,0.536622354,0.905826043,5.818067135,0.617931535,-5.431426811,0.18971467,0.27033124,0.042955197
ACTN1,-0.02641804,0.815431553,0.974045182,6.683327451,-0.23342563,-6.505875378,0.02641804,0.088612488,0.011420898
ACTN2,0.375360507,0.227770629,0.738425823,5.7657939,1.206131452,-4.957969297,0.375360507,0.642502279,0.131693124
ACTN3,-0.11851758,0.723677958,0.951529654,5.459388476,-0.353548921,-5.468791462,0.11851758,0.140454655,0.021577672
ACTN4,-0.01247195,0.845319457,0.974064439,7.101651267,-0.195094553,-7.077718766,0.01247195,0.072979134,0.011412311
ACTR10,0.039591739,0.728332534,0.951812366,6.676400596,0.347345788,-6.466531462,0.039591739,0.13767029,0.021448657
ACTR1A,0.129753722,0.558970089,0.913258576,6.148668151,0.584374581,-5.729502092,0.129753722,0.252611431,0.039406241
ACTR1B,-0.210497326,0.173273974,0.678109769,6.45833295,-1.361771946,-5.33776612,0.210497326,0.761266664,0.168699999
ACTR2,-0.007943605,0.930560863,0.986384959,6.849716924,-0.08713989,-6.74165202,0.007943605,0.031255217,0.005953559
ACTR3,0.114556819,0.219473335,0.729971268,6.832742135,1.227940069,-5.979208313,0.114556819,0.658618236,0.136694234
ACTR3B,-0.154938872,0.410079513,0.849272116,6.295282691,-0.82375834,-5.722020154,0.154938872,0.387131927,0.070953135
ACTR5,-0.236544246,0.476151218,0.88596298,5.522125079,-0.712510046,-5.315000718,0.236544246,0.3222551,0.052584425
ACTR6,0.279366266,0.247264155,0.754291961,6.084993392,1.157029139,-5.199926864,0.279366266,0.606838837,0.122460521
